model,model_hf_id,dataset,template,shots,seed,backend,n_samples,coverage,strict_p,strict_r,strict_f1,partial_f1,type_only_f1,f1_PER,f1_LOC,f1_ORG,runtime_s,avg_latency_ms,input_tokens,output_tokens,cost_usd,price_in_per_M,price_out_per_M
gliner-large,urchade/gliner_large-v2.1,FiNER-ORD,-,0,42,local,300,1.0,0.4359,0.7848,0.5605,0.6441,0.6441,0.5412,0.6239,0.5388,64.0,617.92,0,0,0.0,0.0,0.0
gliner-small,urchade/gliner_small-v2.1,FiNER-ORD,-,0,42,local,300,1.0,0.4805,0.7785,0.5942,0.6691,0.6691,0.5939,0.6321,0.5736,13.76,123.45,0,0,0.0,0.0,0.0
mistral7b,mistralai/Mistral-7B-Instruct-v0.3,FiNER-ORD,A,0,42,modal,300,1.0,0.4495,0.6614,0.5352,0.6223,0.6223,0.6378,0.5561,0.4757,611.85,2039.49,0,0,0.100343,0.0,0.0
plutus8b,TheFinAI/plutus-8B-instruct,FiNER-ORD,A,0,42,modal,300,0.8533,0.2847,0.508,0.3649,0.4111,0.4111,0.3631,0.4577,0.3082,245.21,2279.28,0,0,0.112141,0.0,0.0
qwen25_7b,Qwen/Qwen2.5-7B-Instruct,FiNER-ORD,A,0,42,modal,300,1.0,0.5806,0.6835,0.6279,0.7093,0.7093,0.7273,0.5756,0.6059,453.58,1511.92,0,0,0.074386,0.0,0.0
qwen3_4b,Qwen/Qwen3-4B-Instruct-2507,FiNER-ORD,A,0,42,modal,300,1.0,0.4128,0.6139,0.4936,0.6056,0.6056,0.5357,0.4776,0.4765,160.89,1764.83,0,0,0.08683,0.0,0.0
qwen3_8b,Qwen/Qwen3-8B,FiNER-ORD,A,0,42,modal,300,1.0,0.5314,0.6962,0.6027,0.6877,0.6877,0.6736,0.5859,0.5723,189.03,1855.66,0,0,0.091298,0.0,0.0
